awards,film,nominations,year
1,Murder on a Sunday Morning,1,2001
5,Gladiator,12,2000
4,"Crouching Tiger, Hidden Dragon",10,2000
4,Traffic,5,2000
1,Erin Brockovich,5,2000
1,Almost Famous,4,2000
1,Wonder Boys,3,2000
1,How the Grinch Stole Christmas,3,2000
1,U-571,2,2000
1,Pollock,2,2000
1,Father and Daughter,1,2000
1,Into the Arms of Strangers: Stories of the Kindertransport,1,2000
1,Quiero ser (I want to be...),1,2000
1,Big Mama,1,2000
5,American Beauty,8,1999
2,Topsy-Turvy,4,1999
1,Sleepy Hollow,3,1999
1,Boys Don't Cry,2,1999
1,Tarzan,1,1999
1,One Day in September,1,1999
1,My Mother Dreams the Satan's Disciples in New York,1,1999
1,King Gimp,1,1999
1,"Girl, Interrupted",1,1999
1,All About My Mother,1,1999
7,Shakespeare in Love,13,1998
5,Saving Private Ryan,11,1998
3,Life Is Beautiful,7,1998
1,Elizabeth,7,1998
1,Gods and Monsters,3,1998
1,Affliction,2,1998
1,What Dreams May Come,2,1998
1,The Personals,1,1998
1,Election Night,1,1998
1,Bunny,1,1998
11,Titanic,14,1997
2,Good Will Hunting,9,1997
2,L.A. Confidential,9,1997
2,As Good as It Gets,7,1997
1,Men in Black,3,1997
1,Visas and Virtue,1,1997
1,Character,1,1997
1,Geri's Game,1,1997
2,Fargo,7,1996
1,Shine,7,1996
1,Evita,5,1996
1,Jerry Maguire,5,1996
1,Independence Day,2,1996
1,Emma,2,1996
1,Sling Blade,2,1996
1,Kolya,1,1996
1,Quest,1,1996
1,When We Were Kings,1,1996
1,Breathing Lessons: The Life and Work of Mark O'Brien,1,1996
1,Dear Diary,1,1996
5,Braveheart,10,1995
2,Apollo 13,9,1995
2,Pocahontas,2,1995
2,Restoration,2,1995
1,Babe,7,1995
1,Sense and Sensibility,7,1995
1,Il Postino: The Postman,5,1995
1,Dead Man Walking,4,1995
1,Leaving Las Vegas,4,1995
1,Mighty Aphrodite,2,1995
1,Anne Frank Remembered,1,1995
1,Lieberman in Love,1,1995
1,One Survivor Remembers,1,1995
1,Antonia's Line,1,1995
0 (1),Toy Story,3,1995
6,Forrest Gump,13,1994
2,Speed,3,1994
2,Ed Wood,2,1994
1,Pulp Fiction,7,1994
1,Bullets over Broadway,7,1994
1,Legends of the Fall,3,1994
1,Franz Kafka's It's a Wonderful Life,1,1994
1,Maya Lin: A Strong Clear Vision,1,1994
1,Burnt by the Sun,1,1994
1,Trevor,1,1994
1,Bob's Birthday,1,1994
1,Blue Sky,1,1994
7,Schindler's List,12,1993
3,Jurassic Park,3,1993
2,Philadelphia,5,1993
1,Belle Epoque,1,1993
1,I Am a Promise: The Children of Stanton Elementary School,1,1993
1,Mrs. Doubtfire,1,1993
1,Black Rider,1,1993
1,Defending Our Lives,1,1993
4,Unforgiven,9,1992
3,Howards End,9,1992
3,Bram Stoker's Dracula,4,1992
2,Aladdin,5,1992
1,Scent of a Woman,4,1992
1,Indochine,2,1992
1,My Cousin Vinny,1,1992
1,Educating Peter,1,1992
1,The Last of the Mohicans,1,1992
1,Death Becomes Her,1,1992
1,Omnibus,1,1992
1,Mona Lisa Descending a Staircase,1,1992
4,Terminator 2: Judgment Day,6,1991
2,Bugsy,10,1991
2,JFK,8,1991
2,Beauty and the Beast,6,1991
1,Thelma & Louise,6,1991
1,In the Shadow of the Stars,1,1991
1,Manipulation,1,1991
1,Mediterraneo,1,1991
1,Session Man,1,1991
1,City Slickers,1,1991
1,"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1,1991
7,Dances with Wolves,12,1990
3,Dick Tracy,7,1990
2,Ghost,5,1990
1,Goodfellas,6,1990
1,Reversal of Fortune,3,1990
1,Cyrano de Bergerac,5,1990
1,American Dream,1,1990
1,Journey of Hope,1,1990
1,Days of Waiting,1,1990
1,Creature Comforts,1,1990
1,Misery,1,1990
0 (1),Total Recall,2,1990
4,Driving Miss Daisy,9,1989
3,Glory,5,1989
2,Born on the Fourth of July,8,1989
2,My Left Foot,5,1989
1,Dead Poets Society,4,1989
1,Indiana Jones and the Last Crusade,3,1989
1,Henry V,3,1989
1,Common Threads: Stories from the Quilt,1,1989
1,Cinema Paradiso,1,1989
1,Work Experience,1,1989
1,Batman,1,1989
1,Balance,1,1989
4,Rain Man,8,1988
3,Dangerous Liaisons,7,1988
3 (1),Who Framed Roger Rabbit,6,1988
1,Mississippi Burning,7,1988
1,Working Girl,6,1988
1,Pelle the Conqueror,2,1988
1,Beetlejuice,1,1988
1,Bird,1,1988
1,Hôtel Terminus: The Life and Times of Klaus Barbie,1,1988
1,Tin Toy,1,1988
1,You Don't Have to Die,1,1988
3,Moonstruck,6,1987
1,Babette's Feast,1,1987
1,Dirty Dancing,1,1987
1,Harry and the Hendersons,1,1987
1,Innerspace,1,1987
1,Ray's Male Heterosexual Dance Hall,1,1987
1,Wall Street,1,1987
1,Young at Heart,1,1987
0 (1),RoboCop,2,1987
4,Platoon,8,1986
3,Hannah and Her Sisters,7,1986
2,Aliens,7,1986
1,Children of a Lesser God,5,1986
1,Top Gun,4,1986
1,Round Midnight,2,1986
1,Artie Shaw: Time Is All You've Got,1,1986
1,Down and Out in America,1,1986
1,Precious Images,1,1986
1,"Women – for America, for the World",1,1986
7,Out of Africa,11,1985
2,Witness,8,1985
2,Cocoon,2,1985
1,Prizzi's Honor,8,1985
1,Back to the Future,4,1985
1,Kiss of the Spider Woman,4,1985
1,Ran,4,1985
1,White Nights,2,1985
1,Anna & Bella,1,1985
1,Broken Rainbow,1,1985
1,Mask,1,1985
1,Molly's Pilgrim,1,1985
1,Witness to War: Dr. Charlie Clements,1,1985
8,Amadeus,11,1984
2,Places in the Heart,7,1984
1,Indiana Jones and the Temple of Doom,2,1984
1,Charade,1,1984
1,Dangerous Moves,1,1984
1,Purple Rain,1,1984
1,Up,1,1984
5,Terms of Endearment,11,1983
4,Fanny & Alexander,6,1983
2,Tender Mercies,5,1983
1,Yentl,5,1983
1,Flashdance,4,1983
1,Boys and Girls,1,1983
1,Flamenco at 5:15,1,1983
1,He Makes Me Feel Like Dancin',1,1983
1,Sundae in New York,1,1983
0 (1),Return of the Jedi,4,1983
8,Gandhi,11,1982
4,E.T.: The Extra-Terrestrial,9,1982
1,Tootsie,10,1982
1,Victor/Victoria,7,1982
1,Sophie's Choice,5,1982
1,Missing,4,1982
1,If You Love This Planet,1,1982
1,Just Another Missing Kid,1,1982
1,Tango,1,1982
1,To Begin Again,1,1982
1,Quest for Fire,1,1982
4,Chariots of Fire,7,1981
4 (1),Raiders of the Lost Ark,8,1981
3,Reds,12,1981
3,On Golden Pond,10,1981
2,Arthur,4,1981
1,Close Harmony,1,1981
1,Crac,1,1981
1,Genocide,1,1981
1,Mephisto,1,1981
1,Violet,1,1981
4,Ordinary People,6,1980
3,Tess,6,1980
2,Raging Bull,8,1980
2,Fame,6,1980
2,Melvin and Howard,3,1980
1,Coal Miner's Daughter,7,1980
1,From Mao to Mozart: Isaac Stern in China,1,1980
1,Karl Hess: Toward Liberty,1,1980
1,Moscow Does Not Believe in Tears,1,1980
5,Kramer vs. Kramer,9,1979
4,All That Jazz,9,1979
2,Apocalypse Now,8,1979
2,Norma Rae,4,1979
1,Breaking Away,5,1979
1,Alien,2,1979
1,Being There,2,1979
1,Best Boy,1,1979
1,Board and Care,1,1979
1,Every Child,1,1979
1,Paul Robeson: Tribute to an Artist,1,1979
3,Coming Home,8,1978
2,Midnight Express,6,1978
1,Heaven Can Wait,9,1978
1,Days of Heaven,4,1978
1,California Suite,3,1978
1,Death on the Nile,1,1978
1,Get Out Your Handkerchiefs,1,1978
1,Scared Straight!,1,1978
1,Special Delivery,1,1978
1,Teenage Father,1,1978
1,Thank God It's Friday,1,1978
0 (1),Superman,3,1978
4,Annie Hall,5,1977
6 (1),Star Wars,10,1977
3,Julia,11,1977
1 (1),Close Encounters of the Third Kind,8,1977
1,Gravity Is My Enemy,1,1977
1,I'll Find a Way,1,1977
1,Madame Rosa,1,1977
1,Who Are the DeBolts? And Where Did They Get Nineteen Kids?,1,1977
1,You Light Up My Life,1,1977
3,Rocky,10,1976
4,Network,10,1976
4,All the President's Men,8,1976
2,Bound for Glory,6,1976
1,Fellini's Casanova,2,1976
1,Black and White in Color,1,1976
1,"Harlan County, USA",1,1976
1,In the Region of Ice,1,1976
1,Leisure,1,1976
1,Number Our Days,1,1976
0 (1),King Kong,2,1976
0 (1),Logan's Run,2,1976
5,One Flew over the Cuckoo's Nest,9,1975
4,Barry Lyndon,7,1975
3,Jaws,4,1975
1,Dog Day Afternoon,6,1975
1,Nashville,5,1975
1,Shampoo,4,1975
1,Angel and Big Joe,1,1975
1,Dersu Uzala,1,1975
1,Great,1,1975
1,Chinatown,11,1974
1,Murder on the Orient Express,6,1974
1 (1),Earthquake,4,1974
1,Alice Doesn't Live Here Anymore,3,1974
1,Amarcord,3,1974
1,Harry and Tonto,2,1974
1,Closed Mondays,1,1974
1,Don't,1,1974
1,Hearts and Minds,1,1974
1,One-Eyed Men Are Kings,1,1974
1,Cries and Whispers,5,1973
1,Day for Night,4,1973
1,Paper Moon,4,1973
1,Save the Tiger,3,1973
1,Frank Film,1,1973
1,Princeton: A Search for Answers,1,1973
8,Cabaret,10,1972
1,Travels with My Aunt,4,1972
1,Butterflies Are Free,3,1972
1,Limelight,1,1972
1,Marjoe,1,1972
1,Norman Rockwell's World... An American Dream,1,1972
1,This Tiny World,1,1972
3,Fiddler on the Roof,8,1971
2,Nicholas and Alexandra,6,1971
2,Sentinels of Silence,2,1971
1,Bedknobs and Broomsticks,5,1971
1,Summer of '42,4,1971
1,Klute,2,1971
1,Shaft,2,1971
7,Patton,10,1970
2,Ryan's Daughter,4,1970
1,Airport,10,1970
1,Love Story,7,1970
1,M*A*S*H,5,1970
1,Tora! Tora! Tora!,5,1970
1,Women in Love,4,1970
1,Lovers and Other Strangers,3,1970
1,Woodstock,3,1970
1,Cromwell,2,1970
1,Investigation of a Citizen Above Suspicion,2,1970
1,Interviews with My Lai Veterans,1,1970
1,Is It Always Right to Be Right?,1,1970
1,Let It Be,1,1970
3,Midnight Cowboy,7,1969
4,Butch Cassidy and the Sundance Kid,7,1969
3,"Hello, Dolly!",7,1969
2,Z,5,1969
1,Anne of the Thousand Days,10,1969
1,"They Shoot Horses, Don't They?",9,1969
1,Marooned,3,1969
1,True Grit,2,1969
1,Arthur Rubinstein – The Love of Life,1,1969
1,Cactus Flower,1,1969
1,Czechoslovakia 1968,1,1969
1,It's Tough to Be a Bird,1,1969
5 (1),Oliver!,11,1968
2,Romeo and Juliet,4,1968
1,Funny Girl,8,1968
1,2001: A Space Odyssey,4,1968
1,Bullitt,2,1968
1,Rosemary's Baby,2,1968
1,War and Peace,2,1968
1,Charly,1,1968
1,Journey into Self,1,1968
1,Robert Kennedy Remembered,1,1968
1,Why Man Creates,1,1968
1,Winnie the Pooh and the Blustery Day,1,1968
0 (1),Planet of the Apes,2,1968
5,In the Heat of the Night,7,1967
3,Camelot,5,1967
2,Bonnie and Clyde,10,1967
2,Guess Who's Coming to Dinner,10,1967
2,Doctor Dolittle,9,1967
1,Thoroughly Modern Millie,7,1967
1,Cool Hand Luke,4,1967
1,A Place to Stand,2,1967
1,Closely Watched Trains,1,1967
5,Who's Afraid of Virginia Woolf?,13,1966
3,Grand Prix,3,1966
2,Fantastic Voyage,5,1966
2,Born Free,2,1966
1,A Herb Alpert and the Tijuana Brass Double Feature,1,1966
1,Wild Wings,1,1966
1,Cat Ballou,5,1965
3,Darling,5,1965
5,Doctor Zhivago,10,1965
1,To Be Alive!,1,1965
3,7th Heaven,5,1927
2,"20,000 Leagues Under the Sea",3,1954
1,Adventures of Don Juan,2,1949
1,Air Force,4,1943
1,Albert Schweitzer,1,1957
1,Alexander's Ragtime Band,6,1938
6,All About Eve,14,1950
2,All Quiet on the Western Front,4,1929
1,All That Money Can Buy,2,1941
3,All the King's Men,7,1949
1,Ama Girls,1,1958
1,America America,4,1963
1,Amphibious Fighters,1,1943
1,Anastasia,2,1956
1,Anchors Aweigh,5,1945
2,Anna and the King of Siam,5,1946
1,Annie Get Your Gun,4,1950
4,Anthony Adverse,7,1936
1,Aquatic House Party,1,1949
1,"Arise, My Love",4,1940
5,Around the World in 80 Days,8,1956
2,Bad Girl,3,1931
1,The Battle of Midway,1,1942
2,Battleground,6,1949
1,Bear Country,1,1953
1,Becket,12,1964
11,Ben-Hur,12,1959
1,Benjy,1,1951
1,Beyond the Line of Duty,1,1942
0 (1),Bicycle Thieves,1,1949
0 (1),Bill and Coo,0,1948
1,Birds Anonymous,1,1957
1,Black Fox: The Rise and Fall of Adolf Hitler,1,1962
2,Black Narcissus,2,1947
1,Black Orpheus,1,1959
1,Blithe Spirit,1,1946
1,Blood and Sand,2,1941
1,Blood on the Sun,1,1945
1,Blossoms in the Dust,4,1941
1,Body and Soul,3,1947
1,Bored of Education,1,1936
1,Born Yesterday,5,1950
2,Boys Town,5,1938
2,Breakfast at Tiffany's,5,1961
1,Breaking the Sound Barrier,2,1952
2,Ship of Fools,8,1965
1,Broadway Melody of 1936,3,1935
1,Broken Lance,2,1954
1,Busy Little Bears,1,1939
1,BUtterfield 8,2,1960
1,Calamity Jane,3,1953
1,Call Me Madam,2,1953
1,"Captain Carey, U.S.A.",1,1950
1,Captains Courageous,4,1937
3,Casablanca,8,1943
1,Casals Conducts: 1964,1,1964
3,Cavalcade,4,1932
1,Chagall,1,1963
1,Champion,6,1949
1,Churchill's Island,1,1941
3,Cimarron,7,1930
1,Citizen Kane,9,1941
1,City of Wax,1,1934
1,Cleopatra,5,1934
4,Cleopatra,9,1963
1,Climbing the Matterhorn,1,1947
1,Come and Get It,2,1936
1,"Come Back, Little Sheba",3,1952
1,Coquette,1,1928
1,Cover Girl,5,1944
1,Crash Dive,1,1943
1,Crashing the Water Barrier,1,1956
1,Cyrano de Bergerac,1,1950
1,Dangerous,1,1935
1,Day of the Painter,1,1960
1,Daybreak in Udi,1,1949
1,Days of Wine and Roses,5,1962
1,December 7th,1,1943
1,Declaration of Independence,1,1938
1,Der Fuehrer's Face,1,1942
1,Desert Victory,1,1943
1,Design for Death,1,1947
1,Designing Woman,1,1957
1,Destination Moon,2,1950
1,Disraeli,3,1929
1,Divorce Italian Style,3,1962
1,Dodsworth,7,1936
1,Dr. Jekyll and Mr. Hyde,3,1931
1,Dumbo,2,1941
1,Dylan Thomas,1,1962
1,East of Eden,4,1955
1,Easter Parade,1,1948
3,Elmer Gantry,5,1960
1,Eskimo,1,1934
1,Exodus,3,1960
1,Facing Your Danger,1,1946
0 (2),Fantasia,0,1940
1,Father Goose,3,1964
2,Federico Fellini's 8½,5,1963
1,Ferdinand the Bull,1,1938
1,First Steps,1,1947
1,Flowers and Trees,1,1931
1,Folies Bergere,1,1935
1,For Scent-imental Reasons,1,1949
1,For Whom the Bell Tolls,9,1943
0 (1),Forbidden Games,1,1952
1,Frenchman's Creek,1,1945
8,From Here to Eternity,13,1953
2,Gaslight,7,1944
1 (1),Gate of Hell,1,1954
3,Gentleman's Agreement,8,1947
1,Gerald McBoing-Boing,1,1950
1,Giant,10,1956
9,Gigi,9,1958
1,Giuseppina,1,1960
1,Give Me Liberty,1,1936
1,Glass,1,1959
7,Going My Way,10,1944
1,Gold Diggers of 1935,2,1935
1,Goldfinger,1,1964
8 (2),Gone with the Wind,13,1939
1,"Goodbye, Miss Turlock",1,1947
1,"Goodbye, Mr. Chips",7,1939
1,Grand Canyon,1,1958
1,Grand Hotel,1,1931
1,Grandad of Races,1,1950
2,Great Expectations,5,1947
1,The Great Waltz,3,1938
1,Green Dolphin Street,4,1947
4,Hamlet,7,1948
1,Happy Anniversary,1,1962
1,Harvey,2,1950
1,Heavenly Music,1,1943
1,Helen Keller in Her Story,1,1955
1,"Hello, Frisco, Hello",2,1943
0 (1),Henry V,4,1946
2,Here Comes Mr. Jordan,7,1941
1,Here Comes the Groom,2,1951
4,High Noon,7,1952
1,Hitler Lives,1,1945
1,Holiday Inn,3,1942
5,How Green Was My Valley,10,1941
3,How the West Was Won,8,1963
1,How to Sleep,1,1935
3,Hud,7,1963
1,I Want to Live!,6,1958
1,I Wanted Wings,1,1941
1,I Won't Play,1,1944
1,I'll Cry Tomorrow,4,1955
1,In Beaver Valley,1,1950
1,In Old Arizona,5,1928
2,In Old Chicago,6,1937
0 (1),In Which We Serve,2,1942
1,Interrupted Melody,3,1955
1,Irma la Douce,3,1963
5,It Happened One Night,5,1934
1,"It's a Mad, Mad, Mad, Mad World",6,1963
2,Jezebel,5,1938
2 (1),Joan of Arc,7,1948
1,Johann Mouse,1,1952
1,Johnny Belinda,12,1948
1,Johnny Eager,1,1942
2,Judgment at Nuremberg,11,1961
1,Julius Caesar,5,1953
1,Kentucky,1,1938
1,Key Largo,1,1948
1,King of Jazz,1,1929
2,King Solomon's Mines,3,1950
1,Kitty Foyle,5,1940
1,Knighty Knight Bugs,1,1958
1,Kokoda Front Line!,1,1942
1,Kon-Tiki,1,1950
1,Krakatoa,1,1932
0 (1),Kukan,0,1941
1,Lady Be Good,1,1941
1,Laura,5,1944
7,Lawrence of Arabia,10,1962
1,Leave Her to Heaven,4,1945
1,Lend a Paw,1,1941
1,Les Girls,3,1957
1,Light in the Window,1,1952
1,Lili,6,1953
1,Lilies of the Field,5,1963
1,Little Women,3,1932
1,Little Women,2,1949
2,Lost Horizon,7,1937
3,Love Is a Many-Splendored Thing,8,1955
1,Love Me or Leave Me,6,1955
1,Lust for Life,4,1956
1,Magoo's Puddle Jumper,1,1956
1,Main Street on the March!,1,1941
1,Manhattan Melodrama,1,1934
1,Marie-Louise,1,1945
4,Marty,8,1955
5,Mary Poppins,13,1964
1,Men Against the Arctic,1,1955
1,Mighty Joe Young,1,1949
1,Mildred Pierce,6,1945
1,Min and Bill,1,1930
3,Miracle on 34th Street,4,1947
1,Mister Roberts,3,1955
0 (1),Monsieur Vincent,0,1948
1,Moonbird,1,1959
1,Morning Glory,1,1932
1,Moscow Strikes Back,1,1942
1,Mother Wore Tights,3,1947
2,Moulin Rouge,7,1952
1,Mouse Trouble,1,1944
1,Mr. Deeds Goes to Town,5,1936
1,Mr. Smith Goes to Washington,11,1939
6,Mrs. Miniver,12,1942
1,Munro,1,1960
1,Mutiny on the Bounty,8,1935
8,My Fair Lady,12,1964
1,My Uncle,1,1958
2,National Velvet,5,1945
1,Nature's Half Acre,1,1951
1,Naughty Marietta,2,1935
1,Neighbours,2,1952
1,Neptune's Daughter,1,1949
1,Never on Sunday,5,1960
1,Nights of Cabiria,1,1957
1,Nine from Little Rock,1,1964
1,None But the Lonely Heart,4,1944
1,North West Mounted Police,5,1940
1,"Now, Voyager",3,1942
1,Of Pups and Puzzles,1,1941
2,Oklahoma!,4,1955
1,On the Town,1,1949
8,On the Waterfront,12,1954
1,One Hundred Men and a Girl,5,1937
2,One Night of Love,6,1934
1,One Way Passage,1,1932
1,Overture to The Merry Wives of Windsor,1,1953
1,Panic in the Streets,1,1950
1,Papa's Delicate Condition,1,1963
1,Penny Wisdom,1,1937
2,Phantom of the Opera,4,1943
2,Picnic,6,1955
1,Pillow Talk,5,1959
2,Pinocchio,2,1940
1,Plymouth Adventure,1,1952
0 (1),Pollyanna,0,1960
1,Porgy and Bess,4,1959
1,Portrait of Jennie,2,1948
1,Prelude to War,1,1942
1,Pride and Prejudice,1,1940
1,Princess O'Rourke,1,1943
1,Project Hope,1,1961
1,Pygmalion,4,1938
1,Quicker'n a Wink,1,1940
1,Quiet Please!,1,1945
0 (1),Rashomon,1,1951
1,Reap the Wild Wind,3,1942
2,Rebecca,11,1940
1,Robert Frost: A Lover's Quarrel with the World,1,1963
3,Roman Holiday,10,1953
2,Room at the Top,6,1959
1,Sabrina,6,1954
2,Samson and Delilah,5,1950
0 (1),Samurai I: Musashi Miyamoto,0,1955
1,San Francisco,6,1936
4,Sayonara,10,1957
1,Seal Island,1,1948
1,Seawards the Great Ships,1,1961
1,Seeds of Destiny,1,1946
2,Separate Tables,7,1958
1,Serengeti Shall Not Die,1,1959
2,Sergeant York,11,1941
1,Seven Brides for Seven Brothers,5,1954
1,Seven Days to Noon,1,1951
1,Shane,6,1953
1,Shanghai Express,3,1931
1,She Wore a Yellow Ribbon,1,1949
0 (1),Shoeshine,1,1947
1,Since You Went Away,9,1944
1,Skippy,4,1930
1,Sky Above and Mud Beneath,1,1961
0 (1),Snow White and the Seven Dwarfs,1,1937
1,So Much for So Little,1,1949
1,So This Is Harris!,1,1932
1,Some Like It Hot,6,1959
2,Somebody Up There Likes Me,3,1956
1 (1),Song of the South,2,1947
1,Song Without End,1,1960
1,Sons and Lovers,7,1960
1,Sons of Liberty,1,1939
1,South Pacific,3,1958
4,Spartacus,6,1960
0 (1),Spawn of the North,0,1938
1,Speaking of Animals and Their Families,1,1942
1,Speedy Gonzales,1,1955
1,Spellbound,6,1945
1,Splendor in the Grass,2,1961
2,Stagecoach,7,1939
1,Stairway to Light,1,1945
1,Stalag 17,3,1953
1,Star in the Night,1,1945
1,State Fair,2,1945
1,Street Angel,3,1927
1,Strike Up the Band,3,1940
1,The Substitute,1,1961
1,Sundays and Cybele,3,1962
3,Sunrise,4,1927
3,Sunset Boulevard,11,1950
1,Survival City,1,1955
1,Suspicion,3,1941
1,Sweet Bird of Youth,3,1962
0 (1),Sweethearts,2,1938
1,Swing Time,2,1936
1,Symphony of a City,1,1948
1,Tabu,1,1930
